    PID RUSER    USER     CMD
   4515 daniil   daniil   bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 50 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 49
   4516 daniil   daniil   bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 50 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 49
   4517 daniil   daniil   /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 49
   4571 root     root     [kworker/u10:6-blkcg_punt_bio]
   4643 root     root     [kworker/1:2-events]
   4690 root     root     [kworker/0:3-events]
   4780 root     root     [kworker/u12:3-ttm]
   4783 root     root     [kworker/u12:7-ttm]
   4824 root     root     [kworker/0:0-events]
   4851 root     root     [kworker/u9:1-btrfs-endio-write]
   4852 root     root     [kworker/1:1-ata_sff]
   4856 root     root     systemd-userwork: waiting...
   4857 root     root     [kworker/0:1-events]
   4858 root     root     systemd-userwork: waiting...
   4859 root     root     [kworker/u9:2-btrfs-endio-meta]
   4860 root     root     [kworker/u9:3]
   4861 root     root     [kworker/u9:4-btrfs-endio-write]
   4877 daniil   daniil   bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 30 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 29
   4878 daniil   daniil   bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 30 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 29
   4879 daniil   daniil   /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 29
   4961 root     root     [kworker/u12:0-ttm]
   5018 root     root     [kworker/1:0-ata_sff]
   5024 root     root     systemd-userwork: waiting...
   5025 root     root     [kworker/u13:0-ttm]
   5026 root     root     [kworker/u13:1-ttm]
   5027 root     root     [kworker/u13:2-ttm]
   5028 root     root     [kworker/u13:4-ttm]
   5029 root     root     [kworker/u13:6-ttm]
   5030 root     root     [kworker/u13:7-ttm]
   5031 root     root     [kworker/u13:8]
   5032 root     root     [kworker/u13:9]
   5035 daniil   daniil   ps -eo pid,ruser,user,cmd
